,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu),SiteEnergyUse(kBtu),SiteEnergyUse(kBtu),TotalGHGEmissions,TotalGHGEmissions,TotalGHGEmissions,TotalGHGEmissions
BuildingType,Campus,NonResidential,Nonresidential COS,SPS-District K-12,Campus,NonResidential,Nonresidential COS,SPS-District K-12
DataYear,,,,,,,,
2015,53202609.0,6748787.717692308,7073397.693548387,3620665.7125,1618.3228571428572,129.13009188361409,153.11612903225807,93.12560975609756
2016,81281784.703125,7785596.5398203945,6253409.993975904,6624163.3,1859.2345833333331,168.1558892733564,149.11698795180723,162.902
2017,75073532.9,7306721.340614887,7239425.267857143,3849003.220588235,2602.4433333333336,145.91987075928915,178.54642857142858,106.29117647058824
2018,60248313.666666664,7776552.073578595,6702399.0,3451565.7108433736,2008.1615384615386,146.4007525083612,164.9092307692308,93.1855421686747
2019,58067805.333333336,11947786.506838294,6448180.661538461,3534814.430107527,1863.6119047619047,527.2558326629123,161.12615384615387,99.15591397849462
2020,52859486.97674418,11266957.965277778,5519640.939393939,3151666.736842105,1698.653488372093,496.66620370370373,133.53939393939393,93.39894736842105
2021,49672859.13953488,6599224.109519797,5701497.348484849,4328162.93814433,1665.6139534883719,141.17627401837927,137.98030303030305,137.69484536082473
2022,56181709.56818182,7980576.826282628,6102308.7272727275,4313460.897959184,1868.2590909090907,176.82587601078168,150.1439393939394,132.5081632653061
2023,51237298.25531915,9083000.857471265,6023980.848484849,3890031.6767676766,1588.7978723404256,247.34992412746587,147.77424242424243,113.12424242424241
2024,47926369.43478261,7230772.284649776,5774544.734375,3596436.7346938774,1499.986956521739,162.43706189410887,138.0875,102.04285714285714
